#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Experimental role(s) interactor A	Experimental role(s) interactor B	Biological role(s) interactor A	Biological role(s) interactor B	Properties interactor A	Properties interactor B	Type(s) interactor A	Type(s) interactor B	HostOrganism(s)	Expansion method(s)	Dataset name(s)	Annotation(s) interactor A	Annotation(s) interactor B	Parameter(s) interactor A	Parameter(s) interactor B	Parameter(s) interaction
uniprotkb:P0AE18	uniprotkb:P62707	-	-	-	-	-	Wilkins MR	pubmed:9600841	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > GPMA_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P00393	-	-	-	-	-	Young IG	pubmed:6265208	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > DHNA_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P68679	-	-	-	-	-	Vandekerckhove J	pubmed:765257	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > RS21_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P00448	-	-	-	-	-	Link AJ	pubmed:9298646	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > SODM_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P69222	-	-	-	-	-	Wasinger VC	pubmed:9868784	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > IF1_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P00490	-	-	-	-	-	Schiltz E	pubmed:6986282	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > PHSM_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P69423	-	-	-	-	-	Bolhuis A	pubmed:11279240	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > TATC_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P00562	-	-	-	-	-	Zakin MM	pubmed:6298218	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > AK2H_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P69783	-	-	-	-	-	Wilkins MR	pubmed:9600841	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > PTGA_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P00722	-	-	-	-	-	Fowler AV	pubmed:97298	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > BGAL_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P69797	-	-	-	-	-	Link AJ	pubmed:9298646	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > PTNAB_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P00904	-	-	-	-	-	Li SL	pubmed:4594441	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > TRPG_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P69853	-	-	-	-	-	Oresnik IJ	pubmed:11309116	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > DMSD_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P00956	-	-	-	-	-	Yanagisawa T	pubmed:7929087	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > SYI_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P69924	-	-	-	-	-	Salowe SP	pubmed:3511029	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > RIR2_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P00961	-	-	-	-	-	Link AJ	pubmed:9298646	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > SYGB_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P75958	-	-	-	-	-	Yakushi T	pubmed:10783239	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > LOLE_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P00962	-	-	-	-	-	Hoben P	pubmed:6749844	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > SYQ_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P76316	-	-	-	-	-	Soutourina J	pubmed:11527960	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > DCYD_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P00968	-	-	-	-	-	Nyunoya H	pubmed:6308632	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > CARB_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P77243	-	-	-	-	-	Blank L	pubmed:11782506	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > PRPD_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P02359	-	-	-	-	-	Reinbolt J	pubmed:385062	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > RS7_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P77335	-	-	-	-	-	Oscarsson J	pubmed:10383763	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > HLYE_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P03817	-	-	-	-	-	Birch OM	pubmed:10913144	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > MIOC_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P77488	-	-	-	-	-	Sprenger GA	pubmed:9371765	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > DXS_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P04391	-	-	-	-	-	Link AJ	pubmed:9298646	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > OTC1_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P77541	-	-	-	-	-	Textor S	pubmed:9325432	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > PRPB_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P04825	-	-	-	-	-	Bally M	pubmed:2869947	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > AMPN_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P77791	-	-	-	-	-	Wilkins MR	pubmed:9600841	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > MAA_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P04949	-	-	-	-	-	Wilkins MR	pubmed:9600841	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > FLIC_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P80645	-	-	-	-	-	Quadroni M	pubmed:8774726	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > SSUD_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P05020	-	-	-	-	-	Link AJ	pubmed:9298646	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > PYRC_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:Q59385	-	-	-	-	-	Wasinger VC	pubmed:9868784	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > COPA_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P05523	-	-	-	-	-	Boiteux S	pubmed:1689309	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > FPG_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P05791	-	-	-	-	-	Flint DH	pubmed:8325851	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > ILVD_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P05793	-	-	-	-	-	Link AJ	pubmed:9298646	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > ILVC_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P06149	-	-	-	-	-	Rule GS	pubmed:3882663	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > DLD_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P06722	-	-	-	-	-	Grafstrom RH	pubmed:3031619	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > MUTH_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P06959	-	-	-	-	-	Link AJ	pubmed:9298646	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > ODP2_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P06960	-	-	-	-	-	Falmagne P	pubmed:3968036	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > OTC2_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P06988	-	-	-	-	-	Link AJ	pubmed:9298646	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > HISX_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P07013	-	-	-	-	-	Allen GC Jr	pubmed:1646811	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > PRIB_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P07623	-	-	-	-	-	Born TL	pubmed:10572016	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > META_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P08178	-	-	-	-	-	Link AJ	pubmed:9298646	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > PUR5_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
uniprotkb:P0AE18	uniprotkb:P08204	-	-	-	-	-	Lee N	pubmed:189315	taxid:83333(Ecoli)	taxid:83333(Ecoli)	psi-mi:"MI:0407"(direct interaction)	-	topfind:CAMPM_ECOLI > ARAB_ECOLI @ 1	unknown:0.0	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	-	-	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-
